y/m/d,high(Åé),low(Åé),max_precipitation_10min(mm),daylight_hours(hours)
06/04/1984,19.7,8.8,0.5,8.6
07/04/1984,9.8,5.5,0.5,1
08/04/1984,12.8,4.3,0.5,9
09/04/1984,12.5,3.2,0,8.3
10/04/1984,14.2,7,0,0
11/04/1984,17.2,9,0,2.8
12/04/1984,18.6,8.2,0,8.3
13/04/1984,14.9,8.6,0,6.3
14/04/1984,15.6,8.1,0,9.2
15/04/1984,16,6.7,0,5.9
16/04/1984,12.7,10.3,0.5,0
17/04/1984,16.2,9.6,0,6.1
18/04/1984,24,11.8,0,7.5
19/04/1984,17.8,5.5,1.5,0
20/04/1984,17.9,5.6,1.5,7.4
21/04/1984,15,8.1,0,1.7
22/04/1984,13.8,7.8,0,2.7
23/04/1984,18.2,8.3,0,10
24/04/1984,18.6,7.5,0,11.8
25/04/1984,20.8,11.1,0,10.5
26/04/1984,21.6,14.3,0,9
27/04/1984,20.6,13.2,0,8
28/04/1984,21.4,11.3,0,11.2
29/04/1984,15.9,9.2,0,7.5
30/04/1984,16.6,9,0,0.8
01/05/1984,19.4,11.4,1,3.2
02/05/1984,19.9,13.1,4.5,6.5
03/05/1984,23.6,10.5,0,11.6
04/05/1984,21.3,13.5,0,8.1
05/05/1984,22.3,14.7,0,7.4
06/05/1984,23.1,14.3,0,11
07/05/1984,24.4,15,0,12
08/05/1984,23.7,16.2,0,10.9
09/05/1984,27.7,17.8,0,11.7
10/05/1984,25.2,15.7,0,11.9
11/05/1984,22.2,14.9,0,6.2
12/05/1984,22.4,14.1,0,5.6
13/05/1984,14.3,11.3,0.5,0
14/05/1984,17.9,11.1,1,0.4
15/05/1984,15.8,9.3,0,0.4
16/05/1984,17,11.9,1.5,0
17/05/1984,19.7,11.5,1.5,8
18/05/1984,19.1,11.9,0,5.5
19/05/1984,21.2,11.6,0,7.8
20/05/1984,21.1,14.3,0,7
21/05/1984,18.8,14.4,0,0.1
22/05/1984,19.5,12.4,0,8
23/05/1984,17.2,12.3,1.5,0.8
24/05/1984,20.2,12.5,0.5,3
25/05/1984,20.9,14.6,0,4.1
26/05/1984,20.8,13.6,0,1.6
27/05/1984,24,17.5,0,8.6
28/05/1984,22.8,17.7,0,4.2
29/05/1984,22.6,17.9,0,0.5
30/05/1984,25.5,18.1,0,6.1
31/05/1984,24,17.9,0,0
01/06/1984,27,18.3,0,8.7
02/06/1984,26.6,18.8,0,9.3
03/06/1984,21.8,16.5,0.5,0
04/06/1984,21.9,16.5,1.5,2.9
05/06/1984,23.7,17.1,0,2.5
06/06/1984,26.6,16.7,0,9.7
07/06/1984,25.9,20.4,0,8.7
08/06/1984,25.5,20.9,0,9.9
09/06/1984,26.1,19.7,0,7.7
10/06/1984,24,19.1,0.5,0
11/06/1984,24,20.3,0.5,0
12/06/1984,26.7,20.3,0,2.5
13/06/1984,22.4,19,1.5,0
14/06/1984,25.6,19,0.5,4.1
15/06/1984,26.2,18.8,0,9.5
16/06/1984,28,21.9,0,8.4
17/06/1984,27.6,22.2,0.5,2.2
18/06/1984,29,23.4,0.5,6.2
19/06/1984,31.5,23.6,0,5.1
20/06/1984,27.4,22.4,0.5,0.6
21/06/1984,22.6,18,0.5,0
22/06/1984,21.2,18.1,2,0
23/06/1984,22,17.9,4,0
24/06/1984,24.4,18,0,3.8
25/06/1984,22.4,17.9,0.5,0
26/06/1984,20.7,17.8,2,0
27/06/1984,22.7,17.3,1,0
28/06/1984,24.6,18.9,0.5,5.7
29/06/1984,22.2,18.3,2.5,0
30/06/1984,26.5,19.6,0,5.7
01/07/1984,27.2,17.5,0,7.9
02/07/1984,28.3,19.1,0,7.9
03/07/1984,29.5,21.9,0,11.3
04/07/1984,32.9,23.7,0,12.2
05/07/1984,33.6,25.6,0,8.1
06/07/1984,30.5,21.5,0,1.5
07/07/1984,23.2,19.4,0.5,0
08/07/1984,22.2,19.1,1,0
09/07/1984,28.8,20.7,0,1.1
10/07/1984,27.5,20.1,0,4.8
11/07/1984,28.6,21.2,8.5,5.7
12/07/1984,28.2,21.3,2.5,3.4
13/07/1984,29.8,22.2,0,3.1
14/07/1984,30.7,25,0,3.5
15/07/1984,29,24.9,3.5,4.2
16/07/1984,31.7,25.8,0,11.3
17/07/1984,32.3,25.5,0,11.6
18/07/1984,31.9,25.3,0,8
19/07/1984,30.1,24.2,1,1.7
20/07/1984,30.3,24.4,2,3.2
21/07/1984,29.5,24.6,1.5,1.2
22/07/1984,31.1,23.5,0,7.3
23/07/1984,28.9,24,0,3.4
24/07/1984,31.4,23.7,0,8.8
25/07/1984,32.1,25.3,0,9
26/07/1984,32.7,25.3,0,9.9
27/07/1984,31.5,24,0,2.3
28/07/1984,27.5,25,4,0
29/07/1984,32.5,25.3,0.5,8.2
30/07/1984,32.7,25.1,0,9.8
31/07/1984,32.9,24.9,0,9.7
01/08/1984,32.7,26,0,8.6
02/08/1984,32.3,26.4,0,8.4
03/08/1984,32.4,25.8,0,7
04/08/1984,33.1,25.2,0,10.5
05/08/1984,32.2,26.8,0,10.8
06/08/1984,34.2,26.4,0,9.4
07/08/1984,35,27.6,0,9.6
08/08/1984,33.7,27.1,0,4.9
09/08/1984,33,25.8,0,7.1
10/08/1984,32.4,26.7,0,3.8
11/08/1984,31.6,26.8,0,8.9
12/08/1984,32.9,27.1,0,9.2
13/08/1984,33.3,27.2,0,5.5
14/08/1984,34,26.1,0,12.2
15/08/1984,34.4,26.8,0,11.5
16/08/1984,34.8,27,0,12.2
17/08/1984,34.5,27,0,9.1
18/08/1984,34.1,26.9,0,10.7
19/08/1984,33.8,26.3,0,12.5
20/08/1984,33.3,26.1,5,12.1
21/08/1984,32,25.9,3.5,4.7
22/08/1984,31,26,5.5,3.1
23/08/1984,34.5,26.8,0,10.1
24/08/1984,27.2,22.4,0,4.7
25/08/1984,28.7,21.8,0,7.4
26/08/1984,30.3,23.5,0,7.4
27/08/1984,30.6,25.9,0,1.7
28/08/1984,34,24.4,0,10.6
29/08/1984,29.5,23.1,0,9
30/08/1984,26.5,22.8,0,0.2
31/08/1984,32.5,23.6,0,9.4
01/09/1984,31.5,25.8,0,6.5
02/09/1984,35.2,24.8,0,10.7
03/09/1984,38.1,24.7,0,11.3
04/09/1984,33.3,23.7,0,8.6
05/09/1984,26.6,21.7,3.5,0.8
06/09/1984,27.6,21.7,0,4.8
07/09/1984,26.6,20.2,0,4.8
08/09/1984,25.8,20.4,0,3.6
09/09/1984,25,20.7,4.5,0.6
10/09/1984,32.4,20.7,1,7.9
11/09/1984,28.1,21.9,0,3.1
12/09/1984,26.6,22.5,0,1.8
13/09/1984,27.5,20.7,0,5.1
14/09/1984,26.3,21.3,1,0.2
15/09/1984,25,19.7,5,0
16/09/1984,22.3,19.6,1,0
17/09/1984,26.5,20.4,0,6.5
18/09/1984,24.9,20.7,0.5,0.5
19/09/1984,23.2,19.5,1,0
20/09/1984,25.3,19.2,0.5,2
21/09/1984,25.5,21.2,0.5,0
22/09/1984,25.6,19.6,0,6.6
23/09/1984,25.6,17.1,0,8.4
24/09/1984,25.5,16.8,0,10.5
25/09/1984,26.1,17.5,0,9.7
26/09/1984,23.8,19.6,0,0.6
27/09/1984,23,15.7,0,9.6
28/09/1984,25,16.2,0,9.9
29/09/1984,26.4,16.5,0,6.1
30/09/1984,28.8,19.6,0,6.7
01/10/1984,26.6,21,0,7.5
02/10/1984,27.2,21.7,0,7.3
03/10/1984,30.4,21.6,0,5.5
04/10/1984,21.6,16.8,0,0
05/10/1984,22.8,15.3,0,8.4
06/10/1984,19.1,15.6,0,1
07/10/1984,18.3,13.9,0,4.2
08/10/1984,19.3,11.9,0,6.1
09/10/1984,18.9,11.7,0,5.1
10/10/1984,19.4,12.6,0,0.5
11/10/1984,17.7,14.3,0.5,0
12/10/1984,19.5,15.7,2,0
13/10/1984,25.4,17.2,1.5,3.8
14/10/1984,26,15.9,0,8.1
15/10/1984,21.2,14.7,0,9.6
16/10/1984,19.4,13.3,0,1.7
17/10/1984,20.3,14.8,0.5,0.9
18/10/1984,24.9,15,0,8.6
19/10/1984,18.7,14.7,1,0
20/10/1984,17.3,14.1,0.5,0
21/10/1984,21.8,14.2,0.5,6.7
22/10/1984,20.3,10.6,0,8
23/10/1984,21.1,11.9,0,7.2
24/10/1984,23.7,12.6,0,9
25/10/1984,20,15.5,0,0
26/10/1984,23.8,13.6,0,8.9
27/10/1984,22.5,15.2,0,5.7
28/10/1984,19.8,15.7,0,3.1
29/10/1984,15.7,12.6,0,3
30/10/1984,17.4,9.7,0,6.3
31/10/1984,17.8,7.7,0,9.7
01/11/1984,17.9,10,0,2.6
02/11/1984,17.8,9.4,0,6.7
03/11/1984,16.1,7.7,0,9.6
04/11/1984,18.8,8.9,0,9.1
05/11/1984,21.1,10.1,0,9
06/11/1984,19.8,11.8,0,5
07/11/1984,20.9,11,0,8.6
08/11/1984,21,13.4,0,7.2
09/11/1984,22.7,12.4,0,8
10/11/1984,16.5,13.2,0,1.8
11/11/1984,17.3,12.4,0,0
12/11/1984,17.2,11.4,0,0
13/11/1984,14.6,9.9,0,6.5
14/11/1984,14.7,7.5,0,6.6
15/11/1984,12.4,8.7,1.5,0
16/11/1984,15.2,10.6,0.5,0
17/11/1984,17.5,10.1,0,4.5
18/11/1984,15.1,11.5,0,0
19/11/1984,12.2,7.4,1,0
20/11/1984,7.8,6.2,1,0
21/11/1984,12.3,5.7,0,4.9
22/11/1984,16.1,4.9,0,8.6
23/11/1984,14.1,5.1,0,8.1
24/11/1984,17.5,8.2,0,0
25/11/1984,14.2,6.9,0,1.6
26/11/1984,10.4,4.3,0,8.6
27/11/1984,16.1,4.5,0,8.7
28/11/1984,10.9,5.2,0,6.4
29/11/1984,12.8,3.8,0,8
30/11/1984,15.8,3.7,0,8.6
01/12/1984,11,4.9,0.5,0
02/12/1984,15.8,5.7,0.5,5.6
03/12/1984,14.8,5.1,0,9
04/12/1984,13.7,4.4,0,8.4
05/12/1984,19.8,5.3,0,6.8
06/12/1984,17.2,5.8,0.5,1.8
07/12/1984,9.8,5.5,0,6.4
08/12/1984,11.5,3,0,7.7
09/12/1984,13.5,2.5,0,8.3
10/12/1984,14.4,5.9,0,5.8
11/12/1984,11.5,9.3,2.5,0
12/12/1984,18.4,11.1,0,5.8
13/12/1984,16.2,11.7,0,8.9
14/12/1984,17.8,8.8,0,1.5
15/12/1984,11.4,5.5,0,0
16/12/1984,7.6,2.1,1.5,0.1
17/12/1984,10.4,2,1,5.5
18/12/1984,12.2,5,0.5,0.9
19/12/1984,10.2,5.2,0,8.4
20/12/1984,8.7,4.7,0,4.8
21/12/1984,10,3.5,0,1.3
22/12/1984,12.5,5.1,0,5.6
23/12/1984,7.7,3.3,0,4.9
24/12/1984,9.4,0.3,0,7.4
25/12/1984,5.6,-1.1,0,4.9
26/12/1984,6.4,0.3,0,6.3
27/12/1984,7.6,-0.7,0,5.1
28/12/1984,8.3,-0.1,0,6.8
29/12/1984,7,0.8,0,7.8
30/12/1984,8,-0.8,0,8.9
31/12/1984,9.1,0,0,8.6
01/01/1985,9.4,-0.2,0,8.8
02/01/1985,9.8,1.4,0,8.9
03/01/1985,5.8,1.5,0,2.9
04/01/1985,9.3,1.7,0,2.9
05/01/1985,7.2,0.4,0,7.6
06/01/1985,6.4,-0.8,0,8.9
07/01/1985,6.6,-0.4,0,7.6
08/01/1985,8.3,0.8,0,5.4
09/01/1985,9.3,0.9,0,8.4
10/01/1985,12.1,2.6,0,5.2
11/01/1985,10.8,4.6,0,6.4
12/01/1985,8,2.4,0,0.2
13/01/1985,9.3,0.6,0,6.3
14/01/1985,8.4,-0.4,0,8.7
15/01/1985,6,-1.2,0,7.2
16/01/1985,13.5,-1.1,0,9.1
17/01/1985,6.1,0.3,0,9.1
18/01/1985,5.4,-1.8,0,6.8
19/01/1985,6.9,-0.9,0,8.2
20/01/1985,11.5,2.5,0,8.3
21/01/1985,8.9,2.8,0,9.1
22/01/1985,8.6,1.5,0,6.1
23/01/1985,11.4,1.2,0,8.4
24/01/1985,5.6,2.5,0,0.1
25/01/1985,6.1,0.6,0,6.8
26/01/1985,7,-2.2,0,9.3
27/01/1985,5,-1.3,0,0.4
28/01/1985,12.1,0.6,1,5
29/01/1985,4.9,0.3,0,0
30/01/1985,3.9,-2.5,0,9.6
31/01/1985,7.8,-2.4,0,9.2
01/02/1985,13.4,-1.3,0,9.7
02/02/1985,11.6,3.9,0.5,9
03/02/1985,10.7,2.3,0,6.3
04/02/1985,10.5,3.1,0,8.5
05/02/1985,8,4.7,0.5,0
06/02/1985,10.7,4.8,0,1.3
07/02/1985,14,7,0,5.5
08/02/1985,9.9,4.8,0.5,0
09/02/1985,8.9,3.5,2.5,0
10/02/1985,14.7,6.8,0,4.4
11/02/1985,11.4,4.9,0,9.9
12/02/1985,10.1,4.5,0,4.4
13/02/1985,13.5,2.9,0.5,8.5
14/02/1985,7.9,2.1,0,9.6
15/02/1985,9.9,1.8,0,9.6
16/02/1985,9.2,3.1,0,0
17/02/1985,11.8,4.7,0,9.8
18/02/1985,10.1,3.9,0,4.9
19/02/1985,7.8,2.9,1.5,0
20/02/1985,9.6,3.3,1,0
21/02/1985,13.5,2.9,0,7.4
22/02/1985,8.5,0.6,0,9.7
23/02/1985,8.2,0.3,0,8
24/02/1985,8.5,1.5,0,10.1
25/02/1985,9.6,1.7,0,9.8
26/02/1985,8.9,2.4,0,4.5
27/02/1985,8.6,3.2,0,2.3
28/02/1985,4.8,1.6,0.5,0
01/03/1985,10.5,3.7,0.5,1.5
02/03/1985,7.9,5.9,0.5,0
03/03/1985,14.4,4.9,0.5,7.5
04/03/1985,8.5,3.1,0,4.7
05/03/1985,7.4,4.6,1.5,0
06/03/1985,8,5,0,0.7
07/03/1985,10.2,4.2,0,3.4
08/03/1985,15,6.4,0,0.9
09/03/1985,17.9,6.3,0.5,0
10/03/1985,11,6,0,0.5
11/03/1985,6.1,1.4,0.5,0
12/03/1985,8.2,1.3,0,0
13/03/1985,10.3,4.1,0,0.6
14/03/1985,8,2,1.5,0
15/03/1985,9,3.9,0,5
16/03/1985,9.2,3.4,0,7.2
17/03/1985,7.5,3.8,1.5,0
18/03/1985,17,6.2,0,9.8
19/03/1985,10.9,4.3,1,0
20/03/1985,11.6,4.6,0,2.2
21/03/1985,8.9,5.6,1,0
22/03/1985,13.7,5.1,0.5,7.2
23/03/1985,7.4,5.1,0.5,0
24/03/1985,10.5,4.1,0.5,5.4
25/03/1985,15.6,4.6,0,7.4
26/03/1985,20.3,10.8,0.5,2.1
27/03/1985,11,4.3,1,0
28/03/1985,11.9,6,0,1.3
29/03/1985,12.2,7.7,0,0
30/03/1985,14.6,7.5,0.5,2.7
31/03/1985,11.5,4.2,0.5,3.9
01/04/1985,14.1,3.3,0,8.9
02/04/1985,14.7,4.2,0,7.6
03/04/1985,18.5,12.2,0,9.6
04/04/1985,17,13.9,2,0
05/04/1985,18.7,11.8,0,4.2
06/04/1985,19.4,10.4,0,9.8
07/04/1985,15,11.8,7,0
08/04/1985,15.7,11.1,1,0
09/04/1985,21.2,11.1,0,9.1
10/04/1985,20.2,9.6,0,7.6
11/04/1985,19,11.8,1,1.8
12/04/1985,13,6.9,1,0
13/04/1985,13,6.4,0.5,0
14/04/1985,16.7,7.5,0,12
15/04/1985,14.7,8.2,1,2.1
16/04/1985,15.3,10,1,0.8
17/04/1985,18.2,9.4,0,10.7
18/04/1985,13.4,9,0.5,0.6
19/04/1985,17.7,7.5,0,11.1
20/04/1985,19.2,13,3,5.4
21/04/1985,20.9,11.2,0,11.6
22/04/1985,21.3,11,1,5.9
23/04/1985,21.5,14.8,5,5.7
24/04/1985,23.7,12.3,1,6.7
25/04/1985,20.2,11.7,0,11.4
26/04/1985,22.6,13.3,0,8.5
27/04/1985,21,12,2,0.9
28/04/1985,19,11.5,0,9.3
29/04/1985,20.7,10.5,0,11.9
30/04/1985,23.1,11.7,0,10.6
01/05/1985,24.5,14.4,0,10.9
02/05/1985,24.6,16.2,0,10.3
03/05/1985,25.4,16,0,11.1
04/05/1985,25.8,14.4,0,11.4
05/05/1985,24.3,12.8,0,5.9
06/05/1985,23.3,18.7,0.5,1
07/05/1985,21.2,12.2,0.5,0
08/05/1985,22.6,13.2,0,7.9
09/05/1985,23.1,15.4,0,8.7
10/05/1985,21.6,15.3,0.5,3.4
11/05/1985,23.5,15.2,0.5,6.4
12/05/1985,24.3,15.7,0,11.8
13/05/1985,22.4,17,0,4.7
14/05/1985,18.8,17.7,0.5,0
15/05/1985,26.5,16.7,0,10.2
16/05/1985,21.9,15.1,0,11.7
17/05/1985,23.2,12.3,0,12.6
18/05/1985,23.9,16.2,0,11.7
19/05/1985,23.4,18.2,0,8.6
20/05/1985,22.8,18.8,2,0
21/05/1985,19,13.2,2.5,0
22/05/1985,20.7,13,0,5.5
23/05/1985,25.3,15.5,0,10
24/05/1985,23,18.5,4,0
25/05/1985,23.1,19.1,3,0
26/05/1985,25.9,19.1,0,3.6
27/05/1985,25.4,17,0,11.4
28/05/1985,24,18.6,0,5
29/05/1985,20,14.2,1,0
30/05/1985,19.2,12.8,0,11.2
31/05/1985,20.8,13.7,0,6.8
01/06/1985,23,15.5,0,9.1
02/06/1985,24,16,0,10.7
03/06/1985,25.4,19,0,4.8
04/06/1985,26.7,19.6,0,6.8
05/06/1985,28.7,18.5,0,12.8
06/06/1985,30.1,19,0,13.1
07/06/1985,29.9,19.7,0,11.2
08/06/1985,22.6,18,1.5,0
09/06/1985,19.6,16.6,0.5,0
10/06/1985,20.6,16.9,0.5,0
11/06/1985,21.3,15.9,0,0
12/06/1985,20.6,16.1,0.5,0.4
13/06/1985,17.9,14.4,1,0
14/06/1985,17.4,13.5,0.5,0.6
15/06/1985,18.4,13.2,0,1.7
16/06/1985,21.5,14.1,0,11.1
17/06/1985,22.3,14.1,0,10.1
18/06/1985,18.8,15.8,0.5,0
19/06/1985,22,16,2,0
20/06/1985,22.9,17.1,6.5,2.9
21/06/1985,22.6,18,0,0
22/06/1985,26.9,20,3,0.3
23/06/1985,28.1,21.6,0.5,4.7
24/06/1985,23.8,19.6,2,0
25/06/1985,22,19.4,1.5,0
26/06/1985,26.4,19.5,1,3.8
27/06/1985,23.8,19.1,0.5,0.2
28/06/1985,19.5,17.8,2.5,0
29/06/1985,22,17.8,1,0
30/06/1985,24.7,19.3,6,0
01/07/1985,32.2,22.4,5,8.9
02/07/1985,25.7,20.3,0.5,0
03/07/1985,24.2,19.7,0.5,1.3
04/07/1985,25.9,20.3,0.5,0.3
05/07/1985,23.2,19.8,0.5,0
06/07/1985,29.2,20.5,0.5,1.3
07/07/1985,26.7,23.4,0,0
08/07/1985,26.4,22.9,0,1.6
09/07/1985,29.7,20.9,0,12.4
10/07/1985,28.2,22.5,0,2.1
11/07/1985,30.1,23,1.5,5
12/07/1985,29.2,24.8,0,0
13/07/1985,25.9,23,1,0
14/07/1985,32.2,22.7,6.5,7.2
15/07/1985,31.7,20.5,1,10.5
16/07/1985,30.2,22.3,0,9.8
17/07/1985,29.2,22.6,0,7.8
18/07/1985,32.8,25.8,0,11
19/07/1985,32.7,25.3,0,10.9
20/07/1985,31.4,24.4,7,3.3
21/07/1985,31.5,23.6,1.5,4.8
22/07/1985,31.2,23.6,0,5.2
23/07/1985,31.2,23.4,0,12.1
24/07/1985,32.2,24.8,0,10.5
25/07/1985,33,25.1,0,11.8
26/07/1985,33,25.2,0,9.3
27/07/1985,33.1,25.9,0,9.4
28/07/1985,33,25.6,0,8.9
29/07/1985,33.5,25.2,0,12.4
30/07/1985,34.3,26.2,0,8.8
31/07/1985,32.3,26.6,0,8.2
01/08/1985,31.1,26.7,0,2.9
02/08/1985,31.9,26.3,0,9
03/08/1985,32.1,25.7,0,12.5
04/08/1985,32.2,25.3,0,12.4
05/08/1985,32.1,25.9,0,11.3
06/08/1985,31.6,26.5,0,4.8
07/08/1985,29.9,24.2,5,2.9
08/08/1985,32.1,26.3,0,9.8
09/08/1985,31.2,26,0,9.1
10/08/1985,30.4,23.7,2.5,3.1
11/08/1985,26.7,23.4,6.5,0
12/08/1985,31.5,25.7,0,10
13/08/1985,32.4,25.7,0,10
14/08/1985,32.4,25.3,0,12.1
15/08/1985,32.2,25.7,0,9.3
16/08/1985,33.3,26.6,0,10.6
17/08/1985,33.3,27.1,0,10
18/08/1985,33.9,27,0,10.6
19/08/1985,31.2,26,0,5.1
20/08/1985,27.8,24.3,0.5,0
21/08/1985,29.9,24.8,0,4.8
22/08/1985,31.5,24.7,0,7.2
23/08/1985,31.2,23.7,0,11.9
24/08/1985,31.8,22.6,0,12.3
25/08/1985,31.8,23.2,0,10.8
26/08/1985,32,23.8,0,12
27/08/1985,31,24.7,0,10.3
28/08/1985,31.8,25.2,0,9.3
29/08/1985,33.1,25.6,0,11.5
30/08/1985,32.8,23.7,5,5.1
31/08/1985,32.3,23.5,3,7.1
01/09/1985,32.9,26.8,0,11.7
02/09/1985,35,23,3,8
03/09/1985,28.6,23.9,0,1
04/09/1985,30.6,24.7,0,8
05/09/1985,32.4,25.9,0,8.3
06/09/1985,31.2,23.3,3.5,1.1
07/09/1985,30.5,23.4,0,5.9
08/09/1985,31.6,22.9,0,9.9
09/09/1985,29.6,23.4,0,7
10/09/1985,29.8,23.9,0,4.4
11/09/1985,26.3,22.2,0.5,0
12/09/1985,26.6,21.9,0,1.5
13/09/1985,29.3,22.5,0,7.1
14/09/1985,25.8,19.8,0.5,4.2
15/09/1985,19.9,16.6,1,0
16/09/1985,20.1,17.1,0.5,0
17/09/1985,25.5,19.2,0,4.2
18/09/1985,22.8,19.1,0.5,0
19/09/1985,27.7,20.4,0,3.5
20/09/1985,28.4,20.8,0,3
21/09/1985,25.6,21.3,0.5,0.3
22/09/1985,25.6,19.2,3.5,0.3
23/09/1985,19.6,15.7,2.5,0
24/09/1985,16.9,14.5,2.5,0
25/09/1985,22.3,16.4,0,0
26/09/1985,26.6,18.5,0,7.8
27/09/1985,22.4,18.6,0.5,0.1
28/09/1985,18.7,15.7,1,0
29/09/1985,17.6,16,1.5,0
30/09/1985,24.2,16.5,0.5,4.6
01/10/1985,26.2,19.1,0,3.8
02/10/1985,25.1,17.8,0,7.8
03/10/1985,24.7,14.9,0,9.7
04/10/1985,24.7,16.7,0,1.1
05/10/1985,23.7,18.4,0,0
06/10/1985,18.7,15.9,1.5,0
07/10/1985,25.7,16.9,0,5.6
08/10/1985,25.9,16.9,0,9.7
09/10/1985,24.2,17.2,0,9.9
10/10/1985,24.1,18.6,0,6
11/10/1985,21.1,18.8,1.5,0
12/10/1985,27.3,18.9,0,4.8
13/10/1985,29,23.4,0,9.8
14/10/1985,25,14.4,2,0
15/10/1985,18.8,12.1,0,6.1
16/10/1985,20.5,10.5,0,8.8
17/10/1985,19.7,13.9,0.5,0.7
18/10/1985,15.1,12.9,0,0
19/10/1985,18.6,10.5,0,7.5
20/10/1985,16.5,12.8,0,0.1
21/10/1985,19,13.2,0,5.8
22/10/1985,18.7,13.4,0,2.7
23/10/1985,21.8,11.3,0,8.7
24/10/1985,22,12,0,9.4
25/10/1985,19,12.5,0,7.6
26/10/1985,15,10.1,0,0.8
27/10/1985,22.2,10.7,0,9.9
28/10/1985,18.5,10,0,8.6
29/10/1985,15.4,10.9,0.5,0.8
30/10/1985,17.9,12.9,0.5,0.3
31/10/1985,21.1,15.8,0,3.4
01/11/1985,16.2,14.4,1,0
02/11/1985,18.6,10.9,0,9.7
03/11/1985,16.8,8.9,0,9.6
04/11/1985,19.5,8.2,0,9.5
05/11/1985,21.3,12.1,0.5,2.6
06/11/1985,16.3,13.6,3,0
07/11/1985,18.8,14.9,3,0
